代码,名称,暂停申购起始日,恢复申购日期,单日申购上限(万元),暂停申购天数,暂停申购原因,投资类型,基金成立年限,去年净值增长率,同类平均收益率,"同类基金区间收益排名
","同类基金区间收益排名(百分比)
","报告期净值增长率
[报告期]去年年报
过去1年
","报告期业绩比较基准增长率
","报告期净值增长率减基准增长率
","报告期净值增长率标准差减基准标准差
",基金规模2020,基金规模2018,基金规模2019,基金规模排名
005040.OF,鹏扬景兴混合C,2019-07-15,——,500,——,"为保证本基金的平稳运作,保护基金份额持有人利益",偏债混合型基金,2.591780822,25.77592348,31.39015396,1634/2986,54.72203617,25.78,9.46,16.32,0.26,1.745489361,2.021036068,0.392865097,4926/9376
004614.OF,鹏扬利泽债券A,2019-07-15,——,500,——,"为保证本基金的平稳运作,保护基金份额持有人利益",长期纯债型基金,2.876712329,3.768740748,5.973972239,1540/2272,67.78169014,3.74,3.87,-0.13,-0.01,66.69519848,5.301161817,88.12245333,456/9376
004615.OF,鹏扬利泽债券C,2019-07-15,——,500,——,"为保证本基金的平稳运作,保护基金份额持有人利益",长期纯债型基金,2.876712329,3.513311262,5.973972239,1696/2272,74.64788732,3.48,3.87,-0.39,-0.01,22.49234728,0.625897593,23.81111443,1248/9376
004585.OF,鹏扬汇利A,2019-07-15,——,500,——,"为保证本基金的平稳运作,保护基金份额持有人利益",混合债券型基金（二级）,2.912328767,8.632277978,5.973972239,328/2272,14.43661972,8.62,4.53,4.09,0.01,86.90350977,16.49146027,17.15476674,334/9376
004586.OF,鹏扬汇利C,2019-07-15,——,500,——,"为保证本基金的平稳运作,保护基金份额持有人利益",混合债券型基金（二级）,2.912328767,8.192971673,5.973972239,360/2272,15.84507042,8.18,4.53,3.65,0.01,9.742420451,1.055288616,1.773990876,2317/9376
004225.OF,国寿安保稳诚混合A,2019-07-15,——,20,——,"为保护国寿安保稳诚混合型证券投资基金现有基金份额持有人的利益,根据《国寿安保稳诚混合型证券投资基金基金合同》相关规定,本基金管理人决定于2019年7月15日起暂停本基金的大额申购、转换转入及定期定额投资业务。",偏债混合型基金,3.276712329,3.932612281,31.39015396,2842/2986,95.17749498,3.91,6.16,-2.25,0.01,2.425432316,2.465223355,2.310238995,4288/9376
004226.OF,国寿安保稳诚混合C,2019-07-15,——,20,——,"为保护国寿安保稳诚混合型证券投资基金现有基金份额持有人的利益,根据《国寿安保稳诚混合型证券投资基金基金合同》相关规定,本基金管理人决定于2019年7月15日起暂停本基金的大额申购、转换转入及定期定额投资业务。",偏债混合型基金,3.276712329,3.825901183,31.39015396,2846/2986,95.31145345,3.81,6.16,-2.35,0.01,0.105550107,0.000112224,8.14718E-05,8149/9376
004149.OF,博时鑫惠混合A,2019-07-15,——,50,——,为保护基金份额持有人利益,偏股混合型基金,3.304109589,9.462141979,31.39015396,2511/2986,84.09243135,9.44,19.92,-10.48,-0.48,3.090053551,5.429236854,0.530099877,3923/9376
004150.OF,博时鑫惠混合C,2019-07-15,——,50,——,为保护基金份额持有人利益,偏股混合型基金,3.304109589,9.367304414,31.39015396,2518/2986,84.32685867,9.34,19.92,-10.58,-0.47,0.431022974,0.000588986,0.000599936,7002/9376
400032.OF,东方主题精选混合,2019-07-15,——,1,——,"为了保证基金的平稳运作,保护基金持有人利益。",偏股混合型基金,5.109589041,35.67666126,31.39015396,1232/2986,41.25920965,35.68,21.41,14.27,0.67,1.180098559,1.540671702,0.926478492,5525/9376
006022.OF,富国大盘价值量化精选混合,2019-07-12,——,100,——,"为了保证基金的平稳运作,保护基金持有人的利益",偏股混合型基金,1.783561644,41.86046512,31.39015396,952/2986,31.88211654,41.89,32.22,9.67,0.06,4.258098355,——,0.711924847,3443/9376
005225.OF,广发量化多因子混合,2019-07-12,——,100,——,保护现有基金份额持有人利益,偏股混合型基金,2.112328767,49.91543851,31.39015396,586/2986,19.62491628,49.93,32.5,17.43,0.04,2.709646333,——,0.453987247,4132/9376
003863.OF,招商招祥纯债A,2019-07-12,——,1,——,"为了保证基金的平稳运作,维护基金份额持有人利益,招商基金管理有限公司(以下简称“本公司”)决定自2019年7月12日起暂停招商招祥纯债债券型证券投资基金(以下简称“本基金”)的大额申购(含定期定额投资)和转换转入业务,如单日单个基金账户单笔或累计申请金额超过10,000.00元,本基金有权部分或全部拒绝。",长期纯债型基金,3.397260274,4.609333682,5.973972239,1020/2272,44.8943662,4.56,4.59,-0.03,-0.02,18.24124099,14.97291214,15.37511055,1486/9376
002166.OF,华夏永福混合C,2019-07-12,——,100,——,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",偏债混合型基金,4.438356164,27.90535839,31.39015396,1548/2986,51.841929,10.72,2.89,7.83,0.52,0.088939995,0,0,8254/9376
000121.OF,华夏永福混合A,2019-07-12,——,100,——,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",偏债混合型基金,6.717808219,21.97220384,31.39015396,1794/2986,60.08037508,21.97,3.5,18.47,0.52,3.989165679,4.391811088,3.283804013,3516/9376
002621.OF,中欧消费主题股票A,2019-07-11,——,500,——,"保护基金份额持有人利益,保障基金平稳运作。",普通股票型基金,3.775342466,71.58984008,37.97667335,35/1097,3.190519599,71.43,47.2,24.23,0.3,5.95069394,0.75406032,0.720628079,2940/9376
002697.OF,中欧消费主题股票C,2019-07-11,——,500,——,"保护基金份额持有人利益,保障基金平稳运作。",普通股票型基金,3.775342466,71.02803738,37.97667335,39/1097,3.55515041,71.03,47.2,23.83,0.29,2.49541628,0.129950041,0.226983352,4249/9376
002923.OF,兴业聚惠灵活配置混合C,2019-07-10,——,100,——,"为了保证基金的平稳运作,保护现有基金份额持有人利益",偏股混合型基金,3.832876712,13.10116086,31.39015396,2232/2986,74.74882786,13.01,3.75,9.26,0.23,0.836921174,0.000630831,0.000122376,6068/9376
002494.OF,兴业聚盈灵活配置混合,2019-07-10,——,5000,——,"为了保证基金的平稳运作,保护现有基金份额持有人利益。",偏股混合型基金,4.063013699,11.18359739,31.39015396,2369/2986,79.33690556,11.18,7.8,3.38,-0.04,3.582979251,12.60468388,1.109245149,3667/9376
519761.OF,交银多策略回报灵活配置混合C,2019-07-10,——,30,——,"为保护现有基金份额持有人的利益,稳定基金规模,追求平稳运作",偏股混合型基金,4.449315068,17.27977586,31.39015396,2019/2986,67.61553918,17.28,17.99,-0.71,-0.34,1.579137377,1.850723931,0.001363094,5081/9376
001820.OF,兴全天添益货币A,2019-07-10,——,500,——,"为了保证基金的平稳运作,保护基金持有人利益",货币式基金,4.487671233,2.707532301,2.546879012,188/649,28.96764253,2.6783,1.35,1.3283,0.0009,0.40798207,0.051878694,0.12561015,7064/9376
001821.OF,兴全天添益货币B,2019-07-10,——,500,——,"为了保证基金的平稳运作,保护基金持有人利益",货币式基金,4.487671233,2.956034022,2.546879012,24/649,3.697996918,2.9247,1.35,1.5747,0.0009,440.3178708,76.18908288,121.6488849,46/9376
001547.OF,兴业聚惠灵活配置混合A,2019-07-10,——,100,——,"为了保证基金的平稳运作,保护现有基金份额持有人利益",偏股混合型基金,4.816438356,13.16225166,31.39015396,2223/2986,74.4474213,13.16,3.75,9.41,0.23,2.602076423,12.70672038,1.112059713,4194/9376
519755.OF,交银多策略回报灵活配置混合A,2019-07-10,——,30,——,"为保护现有基金份额持有人的利益,稳定基金规模,追求平稳运作",偏股混合型基金,4.915068493,17.14053368,31.39015396,2027/2986,67.88345613,17.14,17.99,-0.85,-0.34,6.758345703,3.112002819,1.005918258,2770/9376
005472.OF,富国价值驱动灵活配置混合A,2019-07-09,——,600,——,"为了保证基金的平稳运作,保护基金持有人的利益。",偏股混合型基金,2.098630137,64.60828163,31.39015396,184/2986,6.162089752,64.11,23.81,40.3,0.64,0.738039851,——,1.686819814,6257/9376
005473.OF,富国价值驱动灵活配置混合C,2019-07-09,——,600,——,"为了保证基金的平稳运作,保护基金持有人的利益。",偏股混合型基金,2.098630137,63.30768114,31.39015396,206/2986,6.898861353,62.81,23.81,39,0.64,0.085951219,——,0.101592197,8272/9376
002728.OF,华富益鑫灵活配置混合A,2019-07-09,——,10,——,"为了保证基金的平稳运作,保护基金持有人的利益",偏股混合型基金,3.646575342,10.79558172,31.39015396,2399/2986,80.34159411,10.8,19.73,-8.93,-0.37,1.314348816,1.330378604,0.016176493,5371/9376
002729.OF,华富益鑫灵活配置混合C,2019-07-09,——,10,——,"为了保证基金的平稳运作,保护基金持有人的利益",偏股混合型基金,3.646575342,10.43580053,31.39015396,2433/2986,81.48024113,10.44,19.73,-9.29,-0.37,1.976475747,0.573737879,0.535968531,4721/9376
002096.OF,博时新收益C,2019-07-09,——,1,——,为保护基金份额持有人利益,偏股混合型基金,4.082191781,25.91267135,31.39015396,1626/2986,54.45411922,25.86,19.92,5.94,0.04,0.130185469,0.000127706,0.000101332,8012/9376
002095.OF,博时新收益A,2019-07-09,——,1,——,为保护基金份额持有人利益,偏股混合型基金,4.238356164,26.04533419,31.39015396,1621/2986,54.28667113,25.99,19.92,6.07,0.04,2.285232549,3.41778246,3.463808135,4410/9376
165527.OF,信诚新旺混合(LOF)C,2019-07-09,——,0.1,——,"根据基金当前投资运作情况,为维护现有基金份额持有人的利益",偏股混合型基金,4.4,15.65464896,31.39015396,2104/2986,70.46215673,15.55,4.5,11.05,0.37,0.059257455,1.016625365,0.05102101,8420/9376
001325.OF,鹏华弘和混合A,2019-07-09,——,10,——,保护基金份额持有人利益,偏股混合型基金,4.936986301,7.027185436,31.39015396,2675/2986,89.58472873,6.98,4.5,2.48,0.19,3.223317543,5.406873323,0.646824013,3854/9376
001326.OF,鹏华弘和混合C,2019-07-09,——,10,——,保护基金份额持有人利益,偏股混合型基金,4.936986301,6.933471439,31.39015396,2682/2986,89.81915606,6.89,4.5,2.39,0.19,1.11811239,0.647954119,0.015697291,5609/9376
000179.OF,广发美国房地产指数(QDII),2019-07-09,——,1,——,保护现有基金份额持有人利益,QDII,6.728767123,23.71133279,20.89744936,93/241,38.58921162,23.37,25.87,-2.5,-0.09,1.001447372,1.089335523,1.018164644,5809/9376
000180.OF,广发美国房地产指数现汇(QDII),2019-07-09,——,0.14,——,保护现有基金份额持有人利益,QDII,6.728767123,23.64385931,20.89744936,94/241,39.00414938,23.37,25.87,-2.5,-0.09,1.001447372,1.089335523,1.018164644,5810/9376
004769.OF,申万菱信价值优先混合,2019-07-08,——,1000,——,"为保证基金的平稳运作,保护基金份额持有人的利益,根据《申万菱信价值优先混合型证券投资基金基金合同》的有关规定,申万菱信基金管理有限公司决定自2019年7月8日起,暂停申万菱信价值优先混合型证券投资基金大额申购、定期定额投资及转换转入业务。",平衡混合型基金,2.378082192,51.32275132,31.39015396,531/2986,17.78298727,51.34,27.9,23.44,0.23,1.309318146,3.134851473,1.48316049,5376/9376
004951.OF,申万菱信价值优利混合,2019-07-08,——,10,——,"为保证基金的平稳运作,保护基金份额持有人的利益,根据《申万菱信价值优利混合型证券投资基金基金合同》的有关规定,申万菱信基金管理有限公司决定自2019年7月8日起,暂停申万菱信价值优利混合型证券投资基金大额申购、定期定额投资及转换转入业务。",偏股混合型基金,2.608219178,45.41278859,31.39015396,767/2986,25.68653717,45.45,21.17,24.28,0.07,2.228154902,1.665057061,0.482892412,4453/9376
004081.OF,国联安鑫乾混合A,2019-07-08,——,10,——,为保护现有基金份额持有人利益,偏债混合型基金,3.164383562,12.87729949,31.39015396,2249/2986,75.31815137,12.83,10.38,2.45,0.12,0.324924114,2.556092187,5.73148E-05,7278/9376
004082.OF,国联安鑫乾混合C,2019-07-08,——,10,——,为保护现有基金份额持有人利益,偏债混合型基金,3.164383562,50.2388612,31.39015396,574/2986,19.22304086,50.18,10.38,39.8,1.86,0.090437301,2.15974E-05,0.253632824,8244/9376
003809.OF,招商招顺纯债A,2019-07-08,——,0.5,——,"为了保证基金的平稳运作,维护基金持有人利益。",长期纯债型基金,3.397260274,5.297325202,5.973972239,732/2272,32.21830986,5.26,4.96,0.3,-0.01,18.4855752,14.9359506,15.43934956,1468/9376
002520.OF,招商招瑞纯债发起式C,2019-07-08,——,0.5,——,"为了保证基金的平稳运作,维护基金持有人利益。",长期纯债型基金,4.126027397,4.819315883,5.973972239,909/2272,40.00880282,4.82,4.96,-0.14,0,31.27692753,0.671667654,30.98367859,950/9376
002341.OF,招商招瑞纯债发起式A,2019-07-08,——,0.5,——,"为了保证基金的平稳运作,维护基金持有人利益。",长期纯债型基金,4.145205479,5.05275417,5.973972239,814/2272,35.82746479,5.05,4.96,0.09,0,0.004993724,0.103940065,0.113949738,8983/9376
519760.OF,交银新回报灵活配置混合C,2019-07-08,——,30,——,"为保护现有基金份额持有人的利益,稳定基金规模,追求平稳运作。",偏股混合型基金,4.449315068,9.722921941,31.39015396,2494/2986,83.52310784,9.72,17.99,-8.27,-0.49,0.528099474,1.5289E-06,0.186247963,6741/9376
001903.OF,光大保德信欣鑫混合A,2019-07-08,——,100,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制。",偏股混合型基金,4.457534247,7.13450394,31.39015396,2667/2986,89.31681179,7.06,20.09,-13.03,-0.49,1.488436168,1.266720833,1.73556156,5184/9376
001904.OF,光大保德信欣鑫混合C,2019-07-08,——,100,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制。",偏股混合型基金,4.457534247,7.046596928,31.39015396,2674/2986,89.55123912,7.05,20.09,-13.04,-0.49,2.279076975,0.849078219,0.003725783,4417/9376
001894.OF,泰达宏利活期友货币A,2019-07-08,——,1000,——,"为充分保护基金份额持有人利益,保障基金平稳运作。",货币式基金,4.490410959,2.618548889,2.546879012,281/649,43.29738059,2.5909,1.35,1.2409,0.0031,5.519750879,2.396741659,2.251088544,3053/9376
519752.OF,交银新回报灵活配置混合A,2019-07-08,——,30,——,"为保护现有基金份额持有人的利益,稳定基金规模,追求平稳运作。",偏股混合型基金,4.964383562,9.486510211,31.39015396,2509/2986,84.02545211,9.49,17.99,-8.5,-0.49,7.453668827,7.127661618,4.768537134,2636/9376
002498.OF,兴业聚鑫灵活配置混合A,2019-07-05,——,5000,——,"为了保证基金的平稳运作,保护现有基金份额持有人利益",偏股混合型基金,4.016438356,18.6023623,31.39015396,1938/2986,64.90288011,18.6,7.8,10.8,0.1,3.407384683,3.743951205,1.237609071,3746/9376
002591.OF,中欧信用增利债券(LOF)E,2019-07-05,——,500,——,"为保证中欧信用增利债券型证券投资基金(LOF)的稳定运作,保护基金份额持有人利益。",长期纯债型基金,4.068493151,5.307236285,5.973972239,729/2272,32.08626761,5.33,1.31,4.02,-0.02,38.11548723,0.001509566,0.001424849,797/9376
519688.OF,交银精选混合,2019-07-03,——,10,——,"为保护现有基金份额持有人的利益,稳定基金规模,追求平稳运作",偏股混合型基金,14.59452055,58.42021473,31.39015396,319/2986,10.68318821,58.45,27.9,30.55,0.17,57.57345526,27.95056731,33.3630194,535/9376
002639.OF,天弘价值精选灵活配置混合,2019-07-02,——,50,——,"为了保证基金的平稳运作,保护基金份额持有人利益。",偏股混合型基金,3.873972603,20.20891068,31.39015396,1869/2986,62.59209645,20.23,21.82,-1.59,-0.35,2.740799532,0.410711857,0.170526812,4117/9376
001447.OF,天弘惠利混合,2019-07-02,——,50,——,"为了保证基金的平稳运作,保护基金份额持有人利益。",偏股混合型基金,4.893150685,9.188194967,31.39015396,2532/2986,84.79571333,9.17,19.92,-10.75,-0.39,2.56073988,8.124374595,6.004882146,4213/9376
004399.OF,融通汇财宝货币E,2019-07-01,——,6000,——,"为保证基金的平稳运作,保护基金份额持有人利益。",货币式基金,3.134246575,2.83456038,2.546879012,84/649,12.94298921,2.825,0.35,2.475,0.0007,3.914521052,7.3694657,3.900392301,3532/9376
003165.OF,鹏华弘嘉混合A类,2019-07-01,——,100,——,保护基金份额持有人利益,偏股混合型基金,3.698630137,42.1875,31.39015396,929/2986,31.11185532,42.22,19.92,22.3,0.48,5.260110107,1.859631016,1.020483212,3130/9376
003166.OF,鹏华弘嘉混合C类,2019-07-01,——,100,——,保护基金份额持有人利益,偏股混合型基金,3.698630137,41.90403986,31.39015396,948/2986,31.74815807,41.95,19.92,22.03,0.48,0.194064226,0.514966968,0.235999325,7733/9376
002398.OF,华安安禧混合A,2019-07-01,——,10,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年7月1日起暂停华安安禧灵活配置混合型证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,4.049315068,5.714558356,31.39015396,2758/2986,92.36436705,5.69,22.08,-16.39,-0.63,3.829760986,23.05425593,1.801213135,3562/9376
002399.OF,华安安禧混合C,2019-07-01,——,10,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年7月1日起暂停华安安禧灵活配置混合型证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,4.049315068,5.150048842,31.39015396,2791/2986,93.46952445,5.13,22.08,-16.95,-0.63,0.072332523,1.453349833,0.221493145,8340/9376
002504.OF,鹏华金鼎灵活配置混合A,2019-07-01,——,100,——,保护基金份额持有人利益。,偏股混合型基金,4.049315068,18.5617104,31.39015396,1943/2986,65.0703282,18.56,20.05,-1.49,0.16,4.615821669,26.77869149,1.262705766,3332/9376
002505.OF,鹏华金鼎灵活配置混合C,2019-07-01,——,100,——,保护基金份额持有人利益。,偏股混合型基金,4.049315068,17.55424063,31.39015396,2002/2986,67.04621567,17.55,20.05,-2.5,0.15,0.144579148,4.624986519,0.501061201,7937/9376
001739.OF,中融融安混合二号,2019-07-01,——,5,——,"保护基金份额持有人利益,保持基金的平稳运行",偏股混合型基金,4.6,7.89733465,31.39015396,2623/2986,87.84326859,7.79,19.73,-11.94,-0.21,1.271900908,1.008019978,0.137205302,5418/9376
001727.OF,申万菱信安鑫回报灵活配置混合C,2019-07-01,——,500,——,"为保证基金的平稳运作,保护基金份额持有人的利益,根据《申万菱信安鑫回报灵活配置混合型证券投资基金基金合同》的有关规定,申万菱信基金管理有限公司决定自2019年7月1日起,暂停申万菱信安鑫回报灵活配置混合型证券投资基金大额申购、定期定额投资及转换转入业务。",偏股混合型基金,4.775342466,9.031044388,31.39015396,2539/2986,85.03014066,9.03,19.92,-10.89,-0.4,3.670948365,0.986807025,0.788238803,3621/9376
001566.OF,南方利达A,2019-07-01,——,0.1,——,保护基金份额持有人的利益。,偏股混合型基金,4.816438356,14.1221504,31.39015396,2189/2986,73.30877428,14.02,4.07,9.95,0.22,2.556802746,1.082568027,0.410844385,4216/9376
001567.OF,南方利达C,2019-07-01,——,0.1,——,保护基金份额持有人的利益。,偏股混合型基金,4.816438356,14.12368756,31.39015396,2188/2986,73.27528466,7.03,3.46,3.57,0.18,0.632031276,0,0,6478/9376
161121.OF,易方达银行分级,2019-07-01,——,0.01,——,"为了基金的平稳运作,保护基金份额持有人利益。",被动指数型基金,4.912328767,27.82723512,37.97667335,805/1097,73.38195077,27.86,21.51,6.35,0,2.423656266,2.882105273,2.456718269,4290/9376
161122.OF,易方达生物分级,2019-07-01,——,0.01,——,"为了基金的平稳运作,保护基金份额持有人利益",被动指数型基金,4.912328767,52.83636741,37.97667335,184/1097,16.77301732,52.89,52.33,0.56,0,1.739573198,1.99552626,1.628817178,4933/9376
161123.OF,易方达重组分级,2019-07-01,——,0.01,——,"为了基金的平稳运作,保护基金份额持有人利益。",被动指数型基金,4.912328767,26.00533127,37.97667335,872/1097,79.48951686,26.02,25.53,0.49,-0.01,6.52434159,13.54063523,6.7640643,2811/9376
001201.OF,申万菱信安鑫回报灵活配置混合A,2019-07-01,——,500,——,"为保证基金的平稳运作,保护基金份额持有人的利益,根据《申万菱信安鑫回报灵活配置混合型证券投资基金基金合同》的有关规定,申万菱信基金管理有限公司决定自2019年7月1日起,暂停申万菱信安鑫回报灵活配置混合型证券投资基金大额申购、定期定额投资及转换转入业务。",偏股混合型基金,5.010958904,9.269662926,31.39015396,2526/2986,84.59477562,9.17,19.92,-10.75,-0.4,0.028264134,0.492736026,0.022666604,8654/9376
161622.OF,融通汇财宝货币A,2019-07-01,——,6000,——,"为保证基金的平稳运作,保护基金份额持有人利益。",货币式基金,7.134246575,2.659351705,2.546879012,244/649,37.596302,2.6503,0.35,2.3003,0.0007,9.659828914,2.995504599,11.07948196,2329/9376
161623.OF,融通汇财宝货币B,2019-07-01,——,6000,——,"为保证基金的平稳运作,保护基金份额持有人利益。",货币式基金,7.134246575,2.886123363,2.546879012,51/649,7.858243451,2.8764,0.35,2.5264,0.0007,329.7401809,272.4365827,281.2584917,67/9376
003568.OF,平安惠利纯债,2019-06-28,——,500,——,"为了保证基金的平稳运作,保护基金持有人的利益。",长期纯债型基金,3.449315068,5.501000182,5.973972239,673/2272,29.62147887,5.46,4.28,1.18,0.01,5.885323964,5.050448899,5.489150878,2953/9376
002795.OF,平安惠盈纯债A,2019-06-28,——,500,——,"为了保证基金的平稳运作,保护基金持有人的利益。",长期纯债型基金,3.909589041,4.812629443,5.973972239,913/2272,40.18485915,4.81,2.56,2.25,0.05,16.97836528,4.853928963,5.115548262,1560/9376
002339.OF,海富通安颐收益混合C,2019-06-28,——,10,——,"保障基金份额持有人利益,兼顾基金资产的有效运作。",平衡混合型基金,4.312328767,16.63907316,31.39015396,2045/2986,68.48626926,16.64,4.75,11.89,0.29,0.987323409,0.327661412,0.145701982,5828/9376
001316.OF,安信稳健增值混合A,2019-06-28,——,10,——,保护基金份额持有人的利益。,偏股混合型基金,4.936986301,11.40630293,31.39015396,2354/2986,78.83456129,11.4,4.5,6.9,0.16,38.94921294,1.012319836,0.435626241,783/9376
001338.OF,安信稳健增值混合C,2019-06-28,——,10,——,保护基金份额持有人的利益。,偏股混合型基金,4.936986301,10.85894166,31.39015396,2395/2986,80.20763563,10.85,4.5,6.35,0.16,10.50387307,3.858362147,0.157027731,2130/9376
519050.OF,海富通安颐收益混合A,2019-06-28,——,10,——,"保障基金份额持有人利益,兼顾基金资产的有效运作。",平衡混合型基金,6.926027397,16.1073825,31.39015396,2078/2986,69.59142666,16.11,4.75,11.36,0.3,2.859614421,5.766926239,2.496243657,4049/9376
003115.OF,光大保德信诚鑫混合A,2019-06-27,——,10,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制",偏股混合型基金,3.375342466,10.49791264,31.39015396,2430/2986,81.37977227,10.48,20.09,-9.61,-0.38,0.036589237,1.003394792,0.856433027,8595/9376
003116.OF,光大保德信诚鑫混合C,2019-06-27,——,10,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制",偏股混合型基金,3.375342466,10.19710378,31.39015396,2451/2986,82.08305425,10.19,20.09,-9.9,-0.38,2.350199557,0.701823324,0.204803411,4348/9376
003316.OF,中银证券现金管家货币A,2019-06-27,——,1000,——,"为保护基金份额持有人的利益,保证基金的平稳运行",货币式基金,3.397260274,2.453516381,2.546879012,450/649,69.33744222,2.446,0.35,2.096,0.0014,30.68285279,41.98172748,21.05114083,983/9376
003317.OF,中银证券现金管家货币B,2019-06-27,——,1000,——,"为保护基金份额持有人的利益,保证基金的平稳运行",货币式基金,3.397260274,2.699912032,2.546879012,199/649,30.66255778,2.6917,0.35,2.3417,0.0014,34.59959479,55.02195585,40.68689139,871/9376
003117.OF,光大保德信吉鑫混合A,2019-06-27,——,1,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制",偏股混合型基金,3.698630137,12.37816775,31.39015396,2281/2986,76.38981916,12.38,20.09,-7.71,-0.29,1.837141286,0.018543495,0.027473615,4841/9376
003118.OF,光大保德信吉鑫混合C,2019-06-27,——,1,——,"为保护本基金份额持有人的利益,对本基金的大额申购、转换转入、定期定额投资业务进行限制",偏股混合型基金,3.698630137,11.73570099,31.39015396,2328/2986,77.96383121,11.74,20.09,-8.35,-0.29,0.882959787,2.171202504,0.621911639,5996/9376
003799.OF,华安新泰利混合A,2019-06-26,——,10,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年6月26日起暂停华安新泰利灵活配置混合型证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,3.391780822,-5.245614035,31.39015396,2980/2986,99.79906229,-5.25,17.51,-22.76,-0.26,2.691688037,0.549662308,0.071429712,4148/9376
003800.OF,华安新泰利混合C,2019-06-26,——,10,——,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年6月26日起暂停华安新泰利灵活配置混合型证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,3.391780822,-5.32823341,31.39015396,2981/2986,99.83255191,-5.34,17.51,-22.85,-0.26,0.94196985,2.76753E-05,2.74263E-05,5910/9376
003062.OF,银华通利灵活配置混合A,2019-06-26,——,20,——,为最大限度保护现有基金份额持有人利益,偏股混合型基金,3.736986301,8.506224066,31.39015396,2573/2986,86.16878768,8.48,13.7,-5.22,-0.22,2.977906959,2.613058091,1.594402563,3985/9376
003063.OF,银华通利灵活配置混合C,2019-06-26,——,20,——,为最大限度保护现有基金份额持有人利益,偏股混合型基金,3.736986301,8.195777351,31.39015396,2601/2986,87.10649699,8.16,13.7,-5.54,-0.22,0.182432507,7.43791E-05,8.34063E-05,7786/9376
161030.OF,富国中证体育产业指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,4.852054795,58.47535465,37.97667335,116/1097,10.57429353,58.56,56.72,1.84,-0.04,1.575137819,1.682628329,1.0724767,5087/9376
161032.OF,富国中证煤炭指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,4.868493151,23.25509231,37.97667335,939/1097,85.59708295,23.26,10.47,12.79,-0.03,2.166078407,3.369888983,4.037907233,4511/9376
161031.OF,富国中证工业4.0指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,4.879452055,68.57431698,37.97667335,51/1097,4.649042844,68.57,67.69,0.88,-0.01,15.8808687,18.78652611,10.6515852,1635/9376
161028.OF,富国中证新能源汽车指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,5.090410959,42.6255133,37.97667335,368/1097,33.54603464,42.74,43.06,-0.32,-0.03,44.17599003,32.75857599,16.51726655,699/9376
161027.OF,富国中证全指证券公司指数分级,2019-06-26,——,0.05,——,保护基金持有人的利益。,被动指数型基金,5.098630137,46.07837846,37.97667335,281/1097,25.61531449,44.69,42.3,2.39,-0.03,34.00911694,35.39114793,16.93518647,887/9376
161026.OF,富国中证国有企业改革指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,5.37260274,32.16449848,37.97667335,696/1097,63.44576117,32.14,30.05,2.09,0.01,56.07303872,105.5202835,63.96196551,547/9376
161025.OF,富国中证移动互联网指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,5.663013699,53.4815232,37.97667335,173/1097,15.77028259,53.48,54.27,-0.79,-0.03,13.20129066,13.11031279,7.673617418,1849/9376
161024.OF,富国中证军工指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,6.076712329,20.06837077,37.97667335,986/1097,89.88149499,20.14,21.03,-0.89,-0.01,61.44216062,113.2638518,65.31269581,497/9376
161022.OF,富国创业板指数分级,2019-06-26,——,0.05,——,"为了保证基金的平稳运作,保护基金持有人的利益。",被动指数型基金,6.635616438,41.38336927,37.97667335,400/1097,36.46308113,41.38,41.45,-0.07,-0.03,38.86615416,51.49167663,57.3888942,785/9376
